fra;date_de_passage;sursaud_cl_age_corona;nbre_pass_corona;nbre_pass_tot;nbre_hospit_corona;nbre_acte_corona;nbre_acte_tot
FR;24/02/2020;0;1.00;48476.00;;;12071.00
FR;24/02/2020;A;;10459.00;;;3330.00
FR;24/02/2020;B;1.00;17610.00;;;5224.00
FR;24/02/2020;C;;9402.00;;;1948.00
FR;24/02/2020;D;;4210.00;;;556.00
FR;24/02/2020;E;;6794.00;;;956.00
FR;25/02/2020;0;1.00;42628.00;;;10913.00
FR;25/02/2020;A;;9207.00;;;3108.00
FR;25/02/2020;B;;15451.00;;;4769.00
FR;25/02/2020;C;1.00;7984.00;;;1682.00
FR;25/02/2020;D;;3651.00;;;492.00
FR;25/02/2020;E;;6333.00;;;829.00
FR;26/02/2020;0;;42020.00;;;10815.00
FR;26/02/2020;A;;9113.00;;;2968.00
FR;26/02/2020;B;;15225.00;;;4739.00
FR;26/02/2020;C;;7980.00;;;1726.00
FR;26/02/2020;D;;3474.00;;;488.00
FR;26/02/2020;E;;6228.00;;;859.00
FR;27/02/2020;0;19.00;41680.00;1.00;;10764.00
FR;27/02/2020;A;1.00;9060.00;;;2938.00
FR;27/02/2020;B;10.00;14974.00;;;4730.00
FR;27/02/2020;C;6.00;7840.00;;;1665.00
FR;27/02/2020;D;1.00;3435.00;;;503.00
FR;27/02/2020;E;1.00;6370.00;1.00;;896.00
FR;28/02/2020;0;31.00;41805.00;6.00;;10411.00
FR;28/02/2020;A;5.00;9021.00;;;3001.00
FR;28/02/2020;B;15.00;14634.00;4.00;;4404.00
FR;28/02/2020;C;9.00;8018.00;1.00;;1566.00
FR;28/02/2020;D;2.00;3728.00;1.00;;505.00
FR;28/02/2020;E;;6403.00;;;877.00
FR;29/02/2020;0;37.00;40796.00;5.00;;13331.00
FR;29/02/2020;A;8.00;9174.00;1.00;;4270.00
FR;29/02/2020;B;15.00;14902.00;1.00;;5277.00
FR;29/02/2020;C;10.00;7616.00;1.00;;1907.00
FR;29/02/2020;D;3.00;3340.00;1.00;;629.00
FR;29/02/2020;E;1.00;5761.00;1.00;;1184.00
FR;01/03/2020;0;39.00;39204.00;21.00;;13019.00
FR;01/03/2020;A;5.00;9056.00;3.00;;4634.00
FR;01/03/2020;B;18.00;15541.00;7.00;;4976.00
FR;01/03/2020;C;6.00;6861.00;2.00;;1826.00
FR;01/03/2020;D;3.00;2758.00;2.00;;494.00
FR;01/03/2020;E;7.00;4987.00;7.00;;1014.00
FR;02/03/2020;0;111.00;44930.00;51.00;;12304.00
FR;02/03/2020;A;10.00;9409.00;6.00;;3159.00
FR;02/03/2020;B;38.00;16914.00;11.00;;5877.00
FR;02/03/2020;C;29.00;8559.00;15.00;;1914.00
FR;02/03/2020;D;12.00;3747.00;4.00;;508.00
FR;02/03/2020;E;21.00;6300.00;14.00;;781.00
FR;03/03/2020;0;151.00;40787.00;53.00;6.00;10991.00
FR;03/03/2020;A;14.00;8744.00;7.00;;2956.00
FR;03/03/2020;B;76.00;15205.00;18.00;2.00;5187.00
FR;03/03/2020;C;40.00;7599.00;13.00;3.00;1603.00
FR;03/03/2020;D;11.00;3337.00;7.00;1.00;438.00
FR;03/03/2020;E;10.00;5900.00;8.00;;752.00
FR;04/03/2020;0;245.00;40186.00;56.00;7.00;10777.00
FR;04/03/2020;A;20.00;8595.00;3.00;;2798.00
FR;04/03/2020;B;110.00;14894.00;12.00;7.00;5018.00
FR;04/03/2020;C;82.00;7661.00;22.00;;1645.00
FR;04/03/2020;D;16.00;3305.00;10.00;;458.00
FR;04/03/2020;E;17.00;5729.00;9.00;;812.00
FR;05/03/2020;0;315.00;40946.00;71.00;13.00;10810.00
FR;05/03/2020;A;19.00;9077.00;2.00;4.00;3063.00
FR;05/03/2020;B;166.00;15098.00;19.00;6.00;4882.00
FR;05/03/2020;C;83.00;7542.00;19.00;3.00;1492.00
FR;05/03/2020;D;22.00;3347.00;9.00;;463.00
FR;05/03/2020;E;25.00;5880.00;22.00;;876.00
FR;06/03/2020;0;342.00;40972.00;123.00;23.00;10141.00
FR;06/03/2020;A;42.00;9142.00;10.00;3.00;2980.00
FR;06/03/2020;B;134.00;14645.00;31.00;12.00;4221.00
FR;06/03/2020;C;85.00;7512.00;28.00;7.00;1469.00
FR;06/03/2020;D;32.00;3460.00;14.00;1.00;492.00
FR;06/03/2020;E;49.00;6212.00;40.00;;943.00
FR;07/03/2020;0;319.00;40208.00;118.00;71.00;12962.00
FR;07/03/2020;A;35.00;9056.00;13.00;11.00;4278.00
FR;07/03/2020;B;130.00;14884.00;29.00;31.00;4902.00
FR;07/03/2020;C;85.00;7563.00;25.00;15.00;1901.00
FR;07/03/2020;D;26.00;3248.00;14.00;8.00;630.00
FR;07/03/2020;E;43.00;5455.00;37.00;6.00;1205.00
FR;08/03/2020;0;295.00;39515.00;129.00;125.00;12912.00
FR;08/03/2020;A;25.00;9341.00;5.00;30.00;4879.00
FR;08/03/2020;B;117.00;15768.00;31.00;55.00;4724.00
FR;08/03/2020;C;73.00;6960.00;29.00;28.00;1764.00
FR;08/03/2020;D;34.00;2765.00;22.00;6.00;504.00
FR;08/03/2020;E;46.00;4679.00;42.00;6.00;987.00
FR;09/03/2020;0;516.00;45080.00;169.00;67.00;12276.00
FR;09/03/2020;A;68.00;10334.00;11.00;11.00;3586.00
FR;09/03/2020;B;219.00;17016.00;47.00;36.00;5657.00
FR;09/03/2020;C;119.00;8341.00;37.00;13.00;1785.00
FR;09/03/2020;D;44.00;3528.00;24.00;3.00;448.00
FR;09/03/2020;E;66.00;5859.00;50.00;3.00;749.00
FR;10/03/2020;0;571.00;40906.00;205.00;98.00;11047.00
FR;10/03/2020;A;52.00;9213.00;3.00;15.00;3040.00
FR;10/03/2020;B;220.00;15644.00;49.00;62.00;5273.00
FR;10/03/2020;C;150.00;7489.00;50.00;14.00;1597.00
FR;10/03/2020;D;54.00;3083.00;30.00;3.00;382.00
FR;10/03/2020;E;95.00;5474.00;73.00;4.00;714.00
FR;11/03/2020;0;788.00;40519.00;230.00;178.00;11026.00
FR;11/03/2020;A;98.00;9212.00;23.00;24.00;2949.00
FR;11/03/2020;B;360.00;15183.00;59.00;105.00;5178.00
FR;11/03/2020;C;185.00;7543.00;56.00;36.00;1641.00
FR;11/03/2020;D;65.00;3257.00;33.00;5.00;461.00
FR;11/03/2020;E;80.00;5323.00;59.00;8.00;758.00
FR;12/03/2020;0;989.00;41273.00;299.00;220.00;10694.00
FR;12/03/2020;A;76.00;9894.00;12.00;31.00;3186.00
FR;12/03/2020;B;477.00;15345.00;74.00;120.00;4832.00
FR;12/03/2020;C;237.00;7567.00;79.00;48.00;1535.00
FR;12/03/2020;D;88.00;3188.00;51.00;9.00;384.00
FR;12/03/2020;E;110.00;5277.00;83.00;10.00;702.00
FR;13/03/2020;0;1242.00;37300.00;418.00;283.00;10262.00
FR;13/03/2020;A;87.00;8037.00;18.00;47.00;2798.00
FR;13/03/2020;B;595.00;13794.00;102.00;148.00;4588.00
FR;13/03/2020;C;301.00;7223.00;99.00;58.00;1609.00
FR;13/03/2020;D;118.00;3027.00;80.00;18.00;471.00
FR;13/03/2020;E;141.00;5218.00;119.00;10.00;755.00
FR;14/03/2020;0;1176.00;35655.00;377.00;486.00;13594.00
FR;14/03/2020;A;82.00;7640.00;21.00;72.00;4317.00
FR;14/03/2020;B;513.00;13599.00;75.00;265.00;5505.00
FR;14/03/2020;C;327.00;6980.00;95.00;106.00;1988.00
FR;14/03/2020;D;113.00;2875.00;71.00;20.00;630.00
FR;14/03/2020;E;141.00;4561.00;115.00;18.00;1098.00
FR;15/03/2020;0;1346.00;31700.00;419.00;972.00;12949.00
FR;15/03/2020;A;80.00;7045.00;16.00;182.00;4352.00
FR;15/03/2020;B;589.00;12245.00;82.00;540.00;5170.00
FR;15/03/2020;C;393.00;6112.00;107.00;186.00;2021.00
FR;15/03/2020;D;110.00;2378.00;69.00;31.00;498.00
FR;15/03/2020;E;174.00;3918.00;145.00;29.00;856.00
FR;16/03/2020;0;1944.00;29968.00;577.00;1131.00;10463.00
FR;16/03/2020;A;65.00;5328.00;15.00;179.00;2760.00
FR;16/03/2020;B;868.00;11064.00;97.00;616.00;4666.00
FR;16/03/2020;C;588.00;6715.00;150.00;246.00;1882.00
FR;16/03/2020;D;176.00;2659.00;109.00;48.00;455.00
FR;16/03/2020;E;247.00;4202.00;206.00;38.00;669.00
FR;17/03/2020;0;2013.00;25288.00;684.00;961.00;8763.00
FR;17/03/2020;A;69.00;4426.00;32.00;185.00;2419.00
FR;17/03/2020;B;867.00;9080.00;115.00;530.00;3871.00
FR;17/03/2020;C;585.00;5593.00;196.00;175.00;1455.00
FR;17/03/2020;D;205.00;2283.00;115.00;32.00;412.00
FR;17/03/2020;E;287.00;3906.00;226.00;35.00;593.00
FR;18/03/2020;0;2357.00;25490.00;715.00;1053.00;8394.00
FR;18/03/2020;A;96.00;4481.00;26.00;140.00;2087.00
FR;18/03/2020;B;1020.00;8918.00;115.00;577.00;3646.00
FR;18/03/2020;C;700.00;5676.00;212.00;232.00;1488.00
FR;18/03/2020;D;233.00;2429.00;130.00;57.00;479.00
FR;18/03/2020;E;308.00;3984.00;232.00;46.00;671.00
FR;19/03/2020;0;2364.00;24013.00;881.00;1138.00;7910.00
FR;19/03/2020;A;93.00;3990.00;27.00;158.00;1970.00
FR;19/03/2020;B;938.00;8339.00;146.00;632.00;3447.00
FR;19/03/2020;C;735.00;5551.00;280.00;236.00;1386.00
FR;19/03/2020;D;257.00;2367.00;169.00;57.00;459.00
FR;19/03/2020;E;341.00;3766.00;259.00;52.00;633.00
FR;20/03/2020;0;2856.00;24216.00;1083.00;1170.00;7598.00
FR;20/03/2020;A;80.00;3729.00;18.00;144.00;1713.00
FR;20/03/2020;B;1097.00;8412.00;175.00;646.00;3308.00
FR;20/03/2020;C;887.00;5675.00;325.00;263.00;1356.00
FR;20/03/2020;D;340.00;2362.00;201.00;62.00;451.00
FR;20/03/2020;E;452.00;4038.00;364.00;53.00;763.00
FR;21/03/2020;0;2676.00;22999.00;1033.00;1788.00;10204.00
FR;21/03/2020;A;83.00;3846.00;16.00;189.00;2335.00
FR;21/03/2020;B;1087.00;8372.00;185.00;969.00;4230.00
FR;21/03/2020;C;817.00;5108.00;317.00;400.00;1910.00
FR;21/03/2020;D;268.00;2126.00;171.00;107.00;660.00
FR;21/03/2020;E;421.00;3547.00;344.00;120.00;1059.00
FR;22/03/2020;0;2783.00;20838.00;1096.00;1892.00;9627.00
FR;22/03/2020;A;75.00;3279.00;23.00;177.00;2151.00
FR;22/03/2020;B;1084.00;7622.00;200.00;1076.00;4214.00
FR;22/03/2020;C;895.00;4741.00;323.00;428.00;1753.00
FR;22/03/2020;D;286.00;1886.00;188.00;114.00;586.00
FR;22/03/2020;E;443.00;3308.00;362.00;97.00;918.00
FR;23/03/2020;0;4496.00;25577.00;1853.00;1614.00;7546.00
FR;23/03/2020;A;90.00;3122.00;16.00;105.00;1302.00
FR;23/03/2020;B;1585.00;8928.00;278.00;873.00;3417.00
FR;23/03/2020;C;1476.00;6523.00;546.00;412.00;1554.00
FR;23/03/2020;D;593.00;2719.00;402.00;115.00;501.00
FR;23/03/2020;E;752.00;4284.00;611.00;108.00;761.00
FR;24/03/2020;0;4362.00;23553.00;1789.00;1430.00;6875.00
FR;24/03/2020;A;69.00;2941.00;21.00;87.00;1191.00
FR;24/03/2020;B;1598.00;8314.00;264.00;785.00;3066.00
FR;24/03/2020;C;1417.00;5975.00;569.00;371.00;1439.00
FR;24/03/2020;D;578.00;2471.00;383.00;98.00;474.00
FR;24/03/2020;E;700.00;3851.00;552.00;88.00;699.00
FR;25/03/2020;0;4418.00;23313.00;1842.00;1508.00;6606.00
FR;25/03/2020;A;71.00;3023.00;26.00;110.00;1101.00
FR;25/03/2020;B;1582.00;8108.00;267.00;820.00;2922.00
FR;25/03/2020;C;1509.00;5909.00;610.00;342.00;1308.00
FR;25/03/2020;D;566.00;2491.00;389.00;118.00;524.00
FR;25/03/2020;E;690.00;3779.00;550.00;115.00;741.00
FR;26/03/2020;0;4599.00;22847.00;2005.00;1394.00;6125.00
FR;26/03/2020;A;77.00;2856.00;21.00;98.00;1002.00
FR;26/03/2020;B;1558.00;7887.00;286.00;722.00;2597.00
FR;26/03/2020;C;1569.00;5791.00;639.00;372.00;1310.00
FR;26/03/2020;D;635.00;2498.00;441.00;101.00;454.00
FR;26/03/2020;E;760.00;3814.00;618.00;100.00;755.00
FR;27/03/2020;0;5731.00;25825.00;2448.00;1778.00;6959.00
FR;27/03/2020;A;90.00;3135.00;27.00;138.00;1119.00
FR;27/03/2020;B;2031.00;9092.00;357.00;965.00;3195.00
FR;27/03/2020;C;1973.00;6677.00;826.00;454.00;1450.00
FR;27/03/2020;D;729.00;2674.00;506.00;123.00;495.00
FR;27/03/2020;E;908.00;4247.00;732.00;97.00;691.00
FR;28/03/2020;0;5101.00;25232.00;1988.00;2485.00;9966.00
FR;28/03/2020;A;93.00;3196.00;19.00;160.00;1551.00
FR;28/03/2020;B;1995.00;9443.00;339.00;1367.00;4511.00
FR;28/03/2020;C;1637.00;6317.00;600.00;649.00;2050.00
FR;28/03/2020;D;612.00;2422.00;407.00;150.00;712.00
FR;28/03/2020;E;764.00;3854.00;623.00;149.00;1102.00
FR;29/03/2020;0;4115.00;20232.00;1630.00;1968.00;8472.00
FR;29/03/2020;A;72.00;2655.00;17.00;131.00;1374.00
FR;29/03/2020;B;1635.00;7549.00;279.00;1037.00;3695.00
FR;29/03/2020;C;1325.00;5025.00;528.00;504.00;1781.00
FR;29/03/2020;D;447.00;1878.00;293.00;144.00;638.00
FR;29/03/2020;E;636.00;3125.00;513.00;150.00;972.00
FR;30/03/2020;0;5458.00;24531.00;2293.00;1720.00;6885.00
FR;30/03/2020;A;78.00;2756.00;17.00;95.00;875.00
FR;30/03/2020;B;1914.00;8576.00;335.00;917.00;3111.00
FR;30/03/2020;C;1895.00;6539.00;741.00;469.00;1562.00
FR;30/03/2020;D;710.00;2621.00;511.00;118.00;548.00
FR;30/03/2020;E;861.00;4039.00;689.00;119.00;766.00
FR;31/03/2020;0;4526.00;22953.00;1946.00;1331.00;6064.00
FR;31/03/2020;A;58.00;2611.00;17.00;83.00;834.00
FR;31/03/2020;B;1566.00;8110.00;279.00;710.00;2618.00
FR;31/03/2020;C;1539.00;5772.00;611.00;338.00;1363.00
FR;31/03/2020;D;560.00;2467.00;397.00;86.00;444.00
FR;31/03/2020;E;803.00;3993.00;642.00;107.00;790.00
FR;01/04/2020;0;4018.00;22075.00;1708.00;1223.00;6079.00
FR;01/04/2020;A;65.00;2737.00;21.00;91.00;864.00
